"Subject" "Location" "TrialNum" "Target1" "Target2" "Resp1" "Resp2"
"003" "A" 1 2 10 2 11
"003" "A" 7 2 10 2 11
"003" "A" 10 2 10 3 11
"003" "A" 18 2 10 2 11
"003" "A" 24 2 10 3 11
"003" "B" 5 5 5 8 4
"003" "B" 11 5 5 10 4
"003" "B" 14 5 5 12 4
"003" "B" 19 5 5 7 3
"003" "B" 20 5 5 8 2
"003" "C" 2 9 3 13 2
"003" "C" 6 9 3 14 1
"003" "C" 13 9 3 14 2
"003" "C" 17 9 3 15 2
"003" "C" 22 9 3 6 1
"003" "D" 3 2 1 4 6
"003" "D" 4 2 1 4 3
"003" "D" 8 2 1 3 4
"003" "D" 15 2 1 5 1
"003" "D" 21 2 1 3 7
"003" "E" 9 11 10 19 11
"003" "E" 12 11 10 15 11
"003" "E" 16 11 10 16 11
"003" "E" 23 11 10 17 11
"003" "E" 25 11 10 14 11
"004" "A" 1 2 10 3 11
"004" "A" 7 2 10 6 11
"004" "A" 13 2 10 7 10
"004" "A" 20 2 10 5 11
"004" "A" 25 2 10 3 10
"004" "B" 3 5 5 10 4
"004" "B" 12 5 5 9 4
"004" "B" 16 5 5 10 3
"004" "B" 18 5 5 12 2
"004" "B" 19 5 5 13 2
"004" "C" 4 9 3 13 3
"004" "C" 8 9 3 14 4
"004" "C" 10 9 3 14 2
"004" "C" 14 9 3 14 4
"004" "C" 17 9 3 14 1
"004" "D" 2 2 1 5 2
"004" "D" 9 2 1 4 3
"004" "D" 15 2 1 3 1
"004" "D" 21 2 1 3 1
"004" "D" 23 2 1 3 2
"004" "E" 5 11 10 17 11
"004" "E" 6 11 10 18 11
"004" "E" 11 11 10 4 11
"004" "E" 22 11 10 16 11
"004" "E" 24 11 10 16 11
"005" "A" 2 2 10 3 9
"005" "A" 6 2 10 6 11
"005" "A" 9 2 10 3 9
"005" "A" 11 2 10 4 8
"005" "A" 16 2 10 5 9
"005" "B" 3 5 5 10 4
"005" "B" 13 5 5 12 4
"005" "B" 15 5 5 13 7
"005" "B" 21 5 5 12 4
"005" "B" 24 5 5 11 2
"005" "C" 12 9 3 14 2
"005" "C" 20 9 3 13 1
"005" "C" 22 9 3 12 1
"005" "C" 23 9 3 12 3
"005" "C" 25 9 3 16 2
"005" "D" 1 2 1 3 2
"005" "D" 4 2 1 5 4
"005" "D" 5 2 1 5 2
"005" "D" 8 2 1 5 3
"005" "D" 10 2 1 4 3
"005" "E" 7 11 10 18 11
"005" "E" 14 11 10 19 11
"005" "E" 17 11 10 18 11
"005" "E" 18 11 10 18 10
"005" "E" 19 11 10 19 11
"006" "A" 6 2 10 8 11
"006" "A" 18 2 10 6 11
"006" "A" 19 2 10 8 10
"006" "A" 22 2 10 4 9
"006" "A" 24 2 10 4 9
"006" "B" 12 5 5 11 6
"006" "B" 15 5 5 9 6
"006" "B" 16 5 5 10 5
"006" "B" 17 5 5 11 8
"006" "B" 23 5 5 13 5
"006" "C" 5 9 3 14 4
"006" "C" 7 9 3 12 2
"006" "C" 9 9 3 15 4
"006" "C" 11 9 3 13 3
"006" "C" 13 9 3 14 3
"006" "D" 2 2 1 8 4
"006" "D" 4 2 1 6 6
"006" "D" 8 2 1 8 6
"006" "D" 14 2 1 6 4
"006" "D" 21 2 1 8 3
"006" "E" 1 11 10 12 11
"006" "E" 3 11 10 11 9
"006" "E" 10 11 10 15 7
"006" "E" 20 11 10 12 9
"006" "E" 25 11 10 14 10
"008" "A" 11 2 10 2 11
"008" "A" 17 2 10 3 11
"008" "A" 19 2 10 2 11
"008" "A" 20 2 10 4 11
"008" "A" 23 2 10 2 11
"008" "B" 1 5 5 12 7
"008" "B" 7 5 5 10 5
"008" "B" 8 5 5 11 7
"008" "B" 10 5 5 8 6
"008" "B" 22 5 5 9 7
"008" "C" 3 9 3 16 3
"008" "C" 6 9 3 14 3
"008" "C" 12 9 3 16 3
"008" "C" 16 9 3 16 1
"008" "C" 18 9 3 15 1
"008" "D" 2 2 1 4 3
"008" "D" 4 2 1 5 2
"008" "D" 9 2 1 4 3
"008" "D" 13 2 1 1 2
"008" "D" 14 2 1 1 2
"008" "E" 5 11 10 17 11
"008" "E" 15 11 10 17 11
"008" "E" 21 11 10 19 11
"008" "E" 24 11 10 17 11
"008" "E" 25 11 10 18 11
"009" "A" 2 2 10 4 8
"009" "A" 4 2 10 4 8
"009" "A" 7 2 10 5 10
"009" "A" 19 2 10 5 10
"009" "A" 21 2 10 3 11
"009" "B" 1 5 5 14 3
"009" "B" 3 5 5 11 7
"009" "B" 10 5 5 12 6
"009" "B" 18 5 5 15 6
"009" "B" 20 5 5 13 8
"009" "C" 6 9 3 12 6
"009" "C" 11 9 3 12 4
"009" "C" 12 9 3 11 4
"009" "C" 15 9 3 13 7
"009" "C" 22 9 3 14 6
"009" "D" 5 2 1 7 3
"009" "D" 9 2 1 5 4
"009" "D" 16 2 1 3 1
"009" "D" 24 2 1 4 2
"009" "D" 25 2 1 3 1
"009" "E" 8 11 10 12 11
"009" "E" 13 11 10 14 11
"009" "E" 14 11 10 15 11
"009" "E" 17 11 10 15 10
"009" "E" 23 11 10 17 10
"010" "A" 4 2 10 3 9
"010" "A" 10 2 10 4 10
"010" "A" 23 2 10 1 10
"010" "A" 24 2 10 3 10
"010" "A" 25 2 10 3 9
"010" "B" 6 5 5 9 8
"010" "B" 8 5 5 9 7
"010" "B" 14 5 5 9 7
"010" "B" 17 5 5 8 6
"010" "B" 19 5 5 10 8
"010" "C" 9 9 3 13 2
"010" "C" 11 9 3 15 3
"010" "C" 13 9 3 13 3
"010" "C" 16 9 3 14 2
"010" "C" 21 9 3 12 1
"010" "D" 2 2 1 3 2
"010" "D" 3 2 1 4 2
"010" "D" 7 2 1 4 3
"010" "D" 20 2 1 2 2
"010" "D" 22 2 1 2 1
